id,customer_id,amount,issue_date,due_date,status,paid_amount
INV-00001,CUST-0028,692.59,2025-03-25,2025-04-24,paid,692.59
INV-00002,CUST-0020,5679.61,2025-03-18,2025-04-17,paid,5679.61
INV-00003,CUST-0031,7878.83,2024-12-04,2025-01-03,paid,7878.83
INV-00004,CUST-0088,6871.82,2026-01-09,2026-02-08,open,0.0
INV-00005,CUST-0111,5266.89,2025-07-14,2025-08-13,paid,5266.89
INV-00006,CUST-0070,6561.49,2025-03-06,2025-04-05,paid,6561.49
INV-00007,CUST-0069,6887.85,2025-08-03,2025-09-02,paid,6887.85
INV-00008,CUST-0098,715.25,2025-07-27,2025-08-26,paid,715.25
INV-00009,CUST-0067,2597.44,2025-07-25,2025-08-24,paid,2597.44
INV-00010,CUST-0062,60642.81,2025-01-12,2025-03-13,paid,60642.81
INV-00011,CUST-0126,6447.0,2025-05-31,2025-06-30,paid,6447.0
INV-00012,CUST-0122,4481.91,2025-04-07,2025-05-07,paid,4481.91
INV-00013,CUST-0117,2799.67,2025-08-30,2025-09-29,paid,2799.67
INV-00014,CUST-0048,2122.88,2025-10-09,2025-11-08,paid,2122.88
INV-00015,CUST-0135,2622.49,2025-03-16,2025-04-15,paid,2622.49
INV-00016,CUST-0137,14600.9,2025-11-12,2025-12-27,paid,14600.9
INV-00017,CUST-0033,7013.46,2025-02-23,2025-03-25,paid,7013.46
INV-00018,CUST-0048,2393.59,2025-12-20,2026-01-19,open,0.0
INV-00019,CUST-0017,22211.13,2025-06-24,2025-08-08,paid,22211.13
INV-00020,CUST-0022,9145.8,2025-09-10,2025-10-25,paid,9145.8
INV-00021,CUST-0058,4419.29,2024-12-14,2025-01-13,paid,4419.29
INV-00022,CUST-0026,2058.41,2024-12-21,2025-01-20,paid,2058.41
INV-00023,CUST-0045,1062.99,2025-04-08,2025-05-08,paid,1062.99
INV-00024,CUST-0073,35086.24,2025-01-21,2025-03-07,paid,35086.24
INV-00025,CUST-0051,1360.82,2025-06-12,2025-07-12,paid,1360.82
INV-00026,CUST-0079,31213.52,2025-03-17,2025-05-01,paid,31213.52
INV-00027,CUST-0078,19087.8,2025-01-22,2025-03-08,paid,19087.8
INV-00028,CUST-0083,2377.76,2025-03-12,2025-04-11,paid,2377.76
INV-00029,CUST-0006,5542.11,2024-12-20,2025-01-19,paid,5542.11
INV-00030,CUST-0072,119694.55,2025-10-15,2025-12-14,paid,119694.55
INV-00031,CUST-0121,3562.61,2025-07-21,2025-08-20,paid,3562.61
INV-00032,CUST-0103,6203.75,2024-11-25,2024-12-25,paid,6203.75
INV-00033,CUST-0030,60417.51,2024-12-16,2025-02-14,paid,60417.51
INV-00034,CUST-0049,17662.28,2025-04-25,2025-06-09,paid,17662.28
INV-00035,CUST-0053,4619.15,2025-09-01,2025-10-01,paid,4619.15
INV-00036,CUST-0062,35837.82,2025-01-17,2025-03-18,paid,35837.82
INV-00037,CUST-0030,114706.07,2025-05-24,2025-07-23,paid,114706.07
INV-00038,CUST-0107,21887.49,2024-11-14,2024-12-29,paid,21887.49
INV-00039,CUST-0049,22788.43,2025-03-15,2025-04-29,paid,22788.43
INV-00040,CUST-0130,33719.23,2025-09-01,2025-10-16,paid,33719.23
INV-00041,CUST-0126,1614.47,2024-10-29,2024-11-28,paid,1614.47
INV-00042,CUST-0083,1914.89,2024-10-27,2024-11-26,paid,1914.89
INV-00043,CUST-0106,51817.63,2025-12-24,2026-02-22,open,0.0
INV-00044,CUST-0039,116482.44,2025-05-07,2025-07-06,paid,116482.44
INV-00045,CUST-0113,4444.63,2025-11-25,2025-12-25,paid,4444.63
INV-00046,CUST-0121,7769.03,2024-12-11,2025-01-10,paid,7769.03
INV-00047,CUST-0085,5557.68,2024-11-05,2024-12-05,partial,1301.67
INV-00048,CUST-0074,31136.82,2025-09-21,2025-11-05,paid,31136.82
INV-00049,CUST-0026,1747.74,2025-06-02,2025-07-02,paid,1747.74
INV-00050,CUST-0111,2331.48,2025-11-02,2025-12-02,paid,2331.48
INV-00051,CUST-0045,5071.19,2025-12-06,2026-01-05,paid,5071.19
INV-00052,CUST-0066,13936.43,2025-05-25,2025-07-09,paid,13936.43
INV-00053,CUST-0019,114523.56,2025-06-03,2025-08-02,paid,114523.56
INV-00054,CUST-0078,39978.07,2025-10-06,2025-11-20,paid,39978.07
INV-00055,CUST-0092,2719.04,2025-03-27,2025-04-26,paid,2719.04
INV-00056,CUST-0013,6088.79,2025-03-11,2025-04-10,overdue,0.0
INV-00057,CUST-0091,5274.63,2025-09-25,2025-10-25,paid,5274.63
INV-00058,CUST-0025,5347.55,2025-02-28,2025-03-30,paid,5347.55
INV-00059,CUST-0034,36836.97,2025-11-30,2026-01-14,overdue,0.0
INV-00060,CUST-0094,22562.82,2025-04-19,2025-06-03,paid,22562.82
INV-00061,CUST-0124,2713.56,2024-11-29,2024-12-29,paid,2713.56
INV-00062,CUST-0058,5572.43,2024-11-01,2024-12-01,paid,5572.43
INV-00063,CUST-0143,1177.27,2025-07-12,2025-08-11,paid,1177.27
INV-00064,CUST-0068,3357.69,2025-03-22,2025-04-21,paid,3357.69
