id,invoice_id,amount,date,method
PAY-00001,INV-00001,692.59,2025-04-24,credit_card
PAY-00002,INV-00002,5679.61,2025-05-05,check
PAY-00003,INV-00003,7878.83,2025-01-20,credit_card
PAY-00005,INV-00005,5266.89,2025-08-29,check
PAY-00006,INV-00006,6561.49,2025-04-05,wire
PAY-00007,INV-00007,6887.85,2025-09-03,wire
PAY-00008,INV-00008,715.25,2025-08-26,ACH
PAY-00009,INV-00009,2597.44,2025-08-28,ACH
PAY-00010,INV-00010,60642.81,2025-03-22,wire
PAY-00011,INV-00011,6447.0,2025-07-07,credit_card
PAY-00012,INV-00012,4481.91,2025-05-13,wire
PAY-00013,INV-00013,2799.67,2025-10-03,check
PAY-00014,INV-00014,2122.88,2025-11-19,check
PAY-00015,INV-00015,2622.49,2025-05-26,ACH
PAY-00016,INV-00016,14600.9,2025-12-31,credit_card
PAY-00017,INV-00017,7013.46,2025-03-25,wire
PAY-00019,INV-00019,22211.13,2025-08-08,check
PAY-00020,INV-00020,9145.8,2025-10-25,check
PAY-00021,INV-00021,4419.29,2025-03-23,ACH
PAY-00022,INV-00022,2058.41,2025-01-23,ACH
PAY-00023,INV-00023,1062.99,2025-05-19,ACH
PAY-00024,INV-00024,35086.24,2025-03-08,wire
PAY-00025,INV-00025,1360.82,2025-07-23,ACH
PAY-00026,INV-00026,31213.52,2025-05-16,ACH
PAY-00027,INV-00027,19087.8,2025-03-10,check
PAY-00028,INV-00028,2377.76,2025-09-03,credit_card
PAY-00029,INV-00029,5542.11,2025-02-03,credit_card
PAY-00030,INV-00030,119694.55,2025-12-16,check
PAY-00031,INV-00031,3562.61,2025-09-01,wire
PAY-00032,INV-00032,6203.75,2025-01-15,wire
PAY-00033,INV-00033,60417.51,2025-02-14,wire
PAY-00034,INV-00034,17662.28,2025-06-09,check
PAY-00035,INV-00035,4619.15,2025-10-08,check
PAY-00036,INV-00036,35837.82,2025-03-31,ACH
PAY-00037,INV-00037,114706.07,2025-07-23,credit_card
PAY-00038,INV-00038,21887.49,2024-12-29,ACH
PAY-00039,INV-00039,22788.43,2025-05-09,wire
PAY-00040,INV-00040,33719.23,2025-10-16,credit_card
PAY-00041,INV-00041,1614.47,2024-11-28,wire
PAY-00042,INV-00042,1914.89,2024-11-26,ACH
PAY-00044,INV-00044,116482.44,2025-09-19,check
PAY-00045,INV-00045,4444.63,2025-12-25,ACH
PAY-00046,INV-00046,7769.03,2025-01-25,credit_card
PAY-00047,INV-00047,1301.67,2024-12-05,credit_card
PAY-00048,INV-00048,31136.82,2025-11-11,credit_card
PAY-00049,INV-00049,1747.74,2025-07-03,wire
PAY-00050,INV-00050,2331.48,2025-12-14,ACH
PAY-00051,INV-00051,5071.19,2026-01-05,ACH
PAY-00052,INV-00052,13936.43,2026-01-04,credit_card
PAY-00053,INV-00053,114523.56,2025-08-07,wire
PAY-00054,INV-00054,39978.07,2025-11-23,wire
PAY-00055,INV-00055,2719.04,2025-05-03,ACH
PAY-00057,INV-00057,5274.63,2025-11-04,check
PAY-00058,INV-00058,5347.55,2025-05-04,credit_card
PAY-00060,INV-00060,22562.82,2025-06-18,check
PAY-00061,INV-00061,2713.56,2025-01-09,check
PAY-00062,INV-00062,5572.43,2024-12-01,check
PAY-00063,INV-00063,1177.27,2025-08-11,credit_card
PAY-00064,INV-00064,3357.69,2025-04-24,credit_card
PAY-00066,INV-00066,33834.94,2025-04-11,wire
PAY-00069,INV-00069,30979.42,2025-05-23,wire
PAY-00071,INV-00071,3220.15,2024-12-10,ACH
PAY-00074,INV-00074,25523.41,2025-11-19,check
